entity_name,date,posts_in_day,sponsored_posts_in_day,cumulative_posts,cumulative_sponsored_posts
radek-vondracek,2021-08-23,1,0,174,0
martin-kupka,2021-08-22,1,0,211,18
andrej-babis,2021-08-21,1,0,1171,55
martin-kupka,2021-08-21,2,0,210,18
petr-fiala,2021-08-21,2,0,831,113
radek-vondracek,2021-08-21,6,0,173,0
alexandra-udzenija,2021-08-20,1,0,141,0
martin-kupka,2021-08-20,1,0,208,18
petr-fiala,2021-08-20,5,0,829,113
radek-vondracek,2021-08-20,1,0,167,0
zdenek-hrib,2021-08-20,3,0,153,0
alexandra-udzenija,2021-08-19,1,0,140,0
klara-dostalova,2021-08-19,1,0,151,0
petr-fiala,2021-08-19,3,0,824,113
zdenek-hrib,2021-08-19,2,0,150,0
andrej-babis,2021-08-18,1,0,1170,55
martin-kupka,2021-08-18,1,0,207,18
petr-fiala,2021-08-18,7,0,821,113
petr-gazdik,2021-08-18,1,0,20,0
radek-vondracek,2021-08-18,3,0,166,0
tomio-okamura,2021-08-18,6,0,1677,954
alexandra-udzenija,2021-08-17,4,0,139,0
andrej-babis,2021-08-17,2,0,1169,55
klara-dostalova,2021-08-17,4,0,150,0
milos-zeman,2021-08-17,1,0,158,0
petr-fiala,2021-08-17,2,0,814,113
tomio-okamura,2021-08-17,4,1,1671,954
alexandra-udzenija,2021-08-16,4,0,135,0
andrej-babis,2021-08-16,10,1,1167,55
klara-dostalova,2021-08-16,3,0,146,0
miroslav-kalousek,2021-08-16,1,0,375,0
tomio-okamura,2021-08-16,4,2,1667,953
zdenek-hrib,2021-08-16,4,0,148,0
andrej-babis,2021-08-15,1,0,1157,54
martin-kupka,2021-08-15,1,0,206,18
petr-fiala,2021-08-15,2,0,812,113
petr-gazdik,2021-08-15,1,0,19,0
radek-vondracek,2021-08-15,2,0,163,0
tomio-okamura,2021-08-15,11,0,1663,951
alena-schillerova,2021-08-14,5,0,616,20
andrej-babis,2021-08-14,4,0,1156,54
petr-fiala,2021-08-14,7,4,810,113
tomio-okamura,2021-08-14,3,0,1652,951
klara-dostalova,2021-08-13,11,0,143,0
petr-fiala,2021-08-13,4,0,803,109
tomio-okamura,2021-08-13,5,2,1649,951
alena-schillerova,2021-08-12,3,0,611,20
alexandra-udzenija,2021-08-12,2,0,131,0
martin-kupka,2021-08-12,1,0,205,18
miroslav-kalousek,2021-08-12,1,0,374,0
petr-fiala,2021-08-12,5,0,799,109
radek-vondracek,2021-08-12,1,0,161,0
tomio-okamura,2021-08-12,12,3,1644,949
alena-schillerova,2021-08-11,1,0,608,20
alexandra-udzenija,2021-08-11,3,0,129,0
martin-kupka,2021-08-11,1,1,204,18
miroslav-kalousek,2021-08-11,4,0,373,0
petr-fiala,2021-08-11,3,2,794,109
radek-vondracek,2021-08-11,1,0,160,0
tomio-okamura,2021-08-11,4,2,1632,946
zdenek-hrib,2021-08-11,2,0,144,0
alena-schillerova,2021-08-10,3,0,607,20
klara-dostalova,2021-08-10,3,0,132,0
martin-kupka,2021-08-10,1,1,203,17
milos-zeman,2021-08-10,1,0,157,0
petr-fiala,2021-08-10,1,0,791,107
radek-vondracek,2021-08-10,1,0,159,0
tomio-okamura,2021-08-10,5,3,1628,944
martin-kupka,2021-08-09,2,0,202,16
miroslav-kalousek,2021-08-09,1,0,369,0
tomio-okamura,2021-08-09,11,8,1623,941
alexandra-udzenija,2021-08-08,1,0,126,0
tomio-okamura,2021-08-08,5,2,1612,933
zdenek-hrib,2021-08-08,1,0,142,0
alena-schillerova,2021-08-07,5,0,604,20
andrej-babis,2021-08-07,3,0,1152,54
petr-fiala,2021-08-07,2,0,790,107
tomio-okamura,2021-08-07,4,0,1607,931
zdenek-hrib,2021-08-07,1,0,141,0
martin-kupka,2021-08-06,1,0,200,16
petr-fiala,2021-08-06,1,0,788,107
tomio-okamura,2021-08-06,6,6,1603,931
zdenek-hrib,2021-08-06,1,0,140,0
martin-kupka,2021-08-05,1,0,199,16
radek-vondracek,2021-08-05,2,0,158,0
zdenek-hrib,2021-08-05,1,0,139,0
alena-schillerova,2021-08-04,3,0,599,20
alexandra-udzenija,2021-08-04,2,0,125,0
miroslav-kalousek,2021-08-04,3,0,368,0
tomio-okamura,2021-08-04,2,2,1597,925
alena-schillerova,2021-08-03,2,0,596,20
jan-farsky,2021-08-03,1,0,135,2
martin-kupka,2021-08-03,1,0,198,16
milos-zeman,2021-08-03,1,0,156,0
tomio-okamura,2021-08-03,1,0,1595,923
zdenek-hrib,2021-08-03,1,0,138,0
alexandra-udzenija,2021-08-02,2,0,123,0
jan-farsky,2021-08-02,1,0,134,2
martin-kupka,2021-08-02,1,0,197,16
milos-zeman,2021-08-02,1,0,155,0
miroslav-kalousek,2021-08-02,2,0,365,0
petr-fiala,2021-08-02,1,0,787,107
petr-gazdik,2021-08-02,2,0,18,0
tomio-okamura,2021-08-02,8,8,1594,923
zdenek-hrib,2021-08-02,2,0,137,0
tomio-okamura,2021-08-01,11,9,1586,915
alena-schillerova,2021-07-31,1,0,594,20
petr-fiala,2021-07-31,2,0,786,107
tomio-okamura,2021-07-31,3,2,1575,906
alena-schillerova,2021-07-30,2,0,593,20
andrej-babis,2021-07-30,2,0,1149,54
martin-kupka,2021-07-30,2,0,196,16
petr-fiala,2021-07-30,1,0,784,107
andrej-babis,2021-07-29,2,0,1147,54
petr-fiala,2021-07-29,1,0,783,107
alena-schillerova,2021-07-28,6,0,591,20
andrej-babis,2021-07-27,7,0,1145,54
petr-fiala,2021-07-27,1,0,782,107
tomio-okamura,2021-07-27,2,0,1572,904
alena-schillerova,2021-07-26,2,0,585,20
andrej-babis,2021-07-26,3,0,1138,54
martin-kupka,2021-07-26,1,0,194,16
miroslav-kalousek,2021-07-26,1,0,363,0
petr-fiala,2021-07-26,1,0,781,107
tomio-okamura,2021-07-26,4,4,1570,904
