entity_name,date,posts_in_day,cumulative_posts
andrej-babis,2021-09-13,2,213
tomio-okamura,2021-09-13,1,358
andrej-babis,2021-09-12,7,211
andrej-babis,2021-09-11,10,204
tomio-okamura,2021-09-10,2,357
andrej-babis,2021-09-09,2,194
karel-havlicek-3,2021-09-09,2,52
petr-fiala,2021-09-09,4,81
tomio-okamura,2021-09-09,2,355
andrej-babis,2021-09-08,6,192
tomio-okamura,2021-09-08,4,353
andrej-babis,2021-09-07,4,186
andrej-babis,2021-09-06,2,182
petr-fiala,2021-09-06,4,77
tomio-okamura,2021-09-06,4,349
andrej-babis,2021-09-05,4,180
tomio-okamura,2021-09-05,1,345
andrej-babis,2021-09-04,4,176
andrej-babis,2021-09-03,4,172
karel-havlicek-3,2021-09-02,4,50
tomio-okamura,2021-09-02,2,344
andrej-babis,2021-09-01,6,168
tomio-okamura,2021-09-01,2,342
tomio-okamura,2021-08-31,4,340
petr-fiala,2021-08-30,4,73
tomio-okamura,2021-08-30,4,336
andrej-babis,2021-08-29,4,162
andrej-babis,2021-08-27,1,158
petr-fiala,2021-08-27,2,69
tomio-okamura,2021-08-27,2,332
andrej-babis,2021-08-26,2,157
karel-havlicek-3,2021-08-26,2,46
tomio-okamura,2021-08-26,2,330
tomio-okamura,2021-08-24,2,328
tomio-okamura,2021-08-23,6,326
andrej-babis,2021-08-22,4,155
tomio-okamura,2021-08-21,2,320
tomio-okamura,2021-08-20,2,318
andrej-babis,2021-08-19,2,151
karel-havlicek-3,2021-08-19,2,44
andrej-babis,2021-08-18,2,149
tomio-okamura,2021-08-18,4,316
petr-fiala,2021-08-16,22,67
tomio-okamura,2021-08-16,2,312
andrej-babis,2021-08-15,4,147
tomio-okamura,2021-08-15,2,310
andrej-babis,2021-08-14,4,143
tomio-okamura,2021-08-13,1,308
andrej-babis,2021-08-12,2,139
karel-havlicek-3,2021-08-12,1,42
tomio-okamura,2021-08-12,1,307
andrej-babis,2021-08-11,2,137
hana-aulicka-jirovcova,2021-08-11,2,22
ludek-niedermayer,2021-08-11,2,12
tomio-okamura,2021-08-11,2,306
tomio-okamura,2021-08-10,2,304
tomio-okamura,2021-08-09,2,302
andrej-babis,2021-08-08,1,135
andrej-babis,2021-08-07,2,134
andrej-babis,2021-08-06,1,132
tomio-okamura,2021-08-06,10,300
andrej-babis,2021-08-05,2,131
karel-havlicek-3,2021-08-05,1,41
ludek-niedermayer,2021-08-05,1,10
tomio-okamura,2021-08-05,2,290
andrej-babis,2021-08-04,1,129
tomio-okamura,2021-08-04,3,288
hana-aulicka-jirovcova,2021-07-19,1,20
tomio-okamura,2021-07-19,1,285
andrej-babis,2021-07-18,2,128
andrej-babis,2021-07-17,5,126
tomio-okamura,2021-07-17,1,284
andrej-babis,2021-07-16,4,121
tomio-okamura,2021-07-16,1,283
andrej-babis,2021-07-15,3,117
karel-havlicek-3,2021-07-15,1,40
tomio-okamura,2021-07-15,3,282
hana-aulicka-jirovcova,2021-07-14,1,19
jan-grolich-1,2021-07-14,1,2
tomio-okamura,2021-07-14,1,279
tomio-okamura,2021-07-13,5,278
andrej-babis,2021-07-12,1,114
tomio-okamura,2021-07-12,1,273
andrej-babis,2021-07-11,1,113
andrej-babis,2021-07-10,1,112
tomio-okamura,2021-07-10,1,272
tomio-okamura,2021-07-09,2,271
tomio-okamura,2021-07-08,1,269
karel-havlicek-3,2021-07-07,1,39
tomio-okamura,2021-07-07,4,268
tomio-okamura,2021-07-05,1,264
tomio-okamura,2021-07-04,1,263
andrej-babis,2021-07-02,1,111
petr-fiala,2021-07-02,6,45
tomio-okamura,2021-07-02,1,262
andrej-babis,2021-07-01,2,110
karel-havlicek-3,2021-07-01,1,38
tomio-okamura,2021-07-01,1,261
ludek-niedermayer,2021-06-30,1,9
karel-havlicek-3,2021-06-28,4,37
tomio-okamura,2021-06-28,1,260
