entity_name,total_posts,total_sponsored_posts,total_thousand_words,words_per_post,proportion_sponsored
tomio-okamura,1757,1016,469.9,267,0.578258394991463
andrej-babis,1202,59,36.1,30,0.0490848585690516
petr-fiala,911,149,57.9,64,0.163556531284303
alena-schillerova,720,20,26.5,37,0.0277777777777778
miroslav-kalousek,391,0,15.3,39,0
karel-havlicek-3,328,0,15.5,47,0
martin-kupka,254,48,17.6,69,0.188976377952756
radek-vondracek,193,0,8.9,46,0
klara-dostalova,186,0,14.2,76,0
zdenek-hrib,164,0,31.6,193,0
alexandra-udzenija,162,0,22.5,139,0
milos-zeman,158,0,47.7,302,0
jan-farsky,152,2,12.5,83,0.0131578947368421
vladimir-kremlik,113,0,5.7,51,0
jan-hamacek,32,1,3,95,0.03125
adam-vojtech-1,27,0,1.4,50,0
petr-gazdik,22,0,0.5,23,0
marketa-pekarova-adamova,21,0,2.1,100,0
