entity_name,date,posts_and_retweets_in_day,posts_in_day,retweets_in_day,interactions_in_day,cumulative_posts_and_retweets,cumulative_posts,cumulative_retweets,cumulative_interactions_thousands
alenaschillerov,2021-11-23,7,7,0,520,2027,1825,202,78
AndrejBabis,2021-11-23,13,4,9,498,4360,1013,3347,177.2
czKSCM,2021-11-23,1,0,1,0,110,21,89,0.2
honzabartosek,2021-11-23,1,1,0,196,512,509,3,58.9
Jan_Skopecek,2021-11-23,1,0,1,0,962,827,135,167
jana_cernochova,2021-11-23,3,3,0,408,970,949,21,90
KarelHavlicek_,2021-11-23,2,1,1,34,1473,1087,386,51.9
kducsl,2021-11-23,19,1,18,25,5679,443,5236,20.4
Kuba_Martin,2021-11-23,40,40,0,675,1541,1541,0,193.6
market_a,2021-11-23,3,3,0,4295,1236,1048,188,1026.7
metnarl,2021-11-23,1,1,0,27,209,163,46,14.6
ODScz,2021-11-23,4,2,2,813,5137,1671,3466,235.4
PiratIvanBartos,2021-11-23,1,1,0,705,1098,1020,78,504.9
PiratskaStrana,2021-11-23,1,0,1,0,1846,760,1086,132.4
Pospisil_Jiri,2021-11-23,1,1,0,431,563,478,85,136.3
SpoluKoalice,2021-11-23,30,0,30,0,6220,460,5760,100.7
STANcz,2021-11-23,5,0,5,0,1480,387,1093,48.3
TomasCzernin,2021-11-23,1,1,0,20,225,219,6,112.7
TomasZdechovsky,2021-11-23,32,21,11,1212,9771,7354,2417,436
TOP09cz,2021-11-23,23,4,19,328,4503,244,4259,45.1
VeslavM,2021-11-23,2,2,0,622,845,821,24,38.2
Vit_Rakusan,2021-11-23,1,1,0,1442,437,403,34,324.9
vojtafilip,2021-11-23,1,1,0,110,85,85,0,7.3
vonpecka,2021-11-23,6,4,2,65,1074,752,322,19.8
ZdenekHrib,2021-11-23,5,5,0,986,1095,966,129,205.5
alenaschillerov,2021-11-22,10,8,2,304,2020,1818,202,77.4
AndrejBabis,2021-11-22,19,0,19,0,4347,1009,3338,176.7
Jan_Skopecek,2021-11-22,1,1,0,61,961,827,134,167
jana_cernochova,2021-11-22,3,3,0,1,967,946,21,89.6
kalousekm,2021-11-22,3,3,0,3005,3603,3548,55,1707.4
KarelHavlicek_,2021-11-22,5,4,1,238,1471,1086,385,51.9
kducsl,2021-11-22,4,0,4,0,5660,442,5218,20.4
Kuba_Martin,2021-11-22,4,4,0,6,1501,1501,0,192.9
market_a,2021-11-22,3,3,0,5153,1233,1045,188,1022.4
metnarl,2021-11-22,1,0,1,0,208,162,46,14.6
MJureka,2021-11-22,1,1,0,71,1852,1640,212,375.3
ODScz,2021-11-22,8,4,4,309,5133,1669,3464,234.6
P_Fiala,2021-11-22,3,3,0,512,1367,831,536,442.6
